HomeTeam,AwayTeam,FTR
Liverpool,Norwich,H
West Ham,Man City,A
Burnley,Southampton,H
Watford,Brighton,A
Tottenham,Aston Villa,H
Newcastle,Arsenal,A
Man United,Chelsea,H
Arsenal,Burnley,H
Aston Villa,Bournemouth,A
Everton,Watford,H
Norwich,Newcastle,H
Southampton,Liverpool,A
Sheffield United,Crystal Palace,H
Aston Villa,Everton,H
Norwich,Chelsea,A
Brighton,Southampton,A
Man United,Crystal Palace,A
Sheffield United,Leicester,A
Watford,West Ham,A
Liverpool,Arsenal,H
Bournemouth,Man City,A
Tottenham,Newcastle,A
Crystal Palace,Aston Villa,H
Leicester,Bournemouth,H
Man City,Brighton,H
West Ham,Norwich,H
Burnley,Liverpool,A
Everton,Wolves,H
Liverpool,Newcastle,H
Man United,Leicester,H
Sheffield United,Southampton,A
Tottenham,Crystal Palace,H
Wolves,Chelsea,A
Norwich,Man City,H
Bournemouth,Everton,H
Southampton,Bournemouth,A
Leicester,Tottenham,H
Burnley,Norwich,H
Everton,Sheffield United,A
Man City,Watford,H
West Ham,Man United,H
Arsenal,Aston Villa,H
Chelsea,Liverpool,A
Sheffield United,Liverpool,A
Chelsea,Brighton,H
Crystal Palace,Norwich,H
Tottenham,Southampton,H
Wolves,Watford,H
Everton,Man City,A
Leicester,Newcastle,H
Brighton,Tottenham,H
Burnley,Everton,H
Liverpool,Leicester,H
Norwich,Aston Villa,A
West Ham,Crystal Palace,A
Arsenal,Bournemouth,H
Man City,Wolves,A
Southampton,Chelsea,A
Newcastle,Man United,H
Everton,West Ham,H
Aston Villa,Brighton,H
Chelsea,Newcastle,H
Leicester,Burnley,H
Crystal Palace,Man City,A
Sheffield United,Arsenal,H
Southampton,Leicester,A
Man City,Aston Villa,H
Brighton,Everton,H
Burnley,Chelsea,A
Liverpool,Tottenham,H
Norwich,Man United,A
Bournemouth,Man United,H
Aston Villa,Liverpool,A
Brighton,Norwich,H
Man City,Southampton,H
Sheffield United,Burnley,H
West Ham,Newcastle,A
